region,Group,details
asia,International Sivananda Yoga Vedanta Centers,"['1957 CE - 2023 CE', 'Religious Group, Hinduism, New Age Religion, neo-Vedanta, Yoga']"
asia,Religion in Samuha during the Hittite period,"['1600 BCE - 1200 BCE', 'Religious Place, Religious Group, Asia Minor, Anatolian Religions, City, Mesopotamian Religions']"
asia,Tabaqat as-Sufiyya de as-Sulami طبقات الصوفيّة للسّلمي,"['1021 CE - 2022 CE', 'Religious Group, Text, Sufi, Islamic Theology, Religious History, Islamic Traditions, Mysticism']"
asia,Ugarit,"['1600 BCE - 1185 BCE', 'Religious Group, Syro-Palestinian Religion, Canaanite Religions']"
asia,Abkhaz,"['Secondary source: Multiple References', 'Data source: eHRAF', '1855 CE - 1890 CE', 'Religious Group, Christian Traditions, Islamic Traditions, Syncretic Religions']"
asia,Achaemenid Religion,"['550 BCE - 330 BCE', 'Religious Group, Zoroastrianism, Mesopotamian Religions']"
asia,Ammonite Religion,"['1000 BCE - 500 BCE', 'Religious Group, Levantine Religion, Syro-Palestinian Religion, Polytheistic, Canaanite Religions']"
asia,Bad' al-Khalq wa Qasas al-Anbiya' of Kisa'i كتاب بدء الخلق وقصص الأنبياء للكسائي,"['1100 CE - 2023 CE', ""Religious Group, Text, Islamic Theology, Shi'a Islam, Hadith, Islamic Traditions""]"
asia,Book of Ezekiel,"['593 BCE - 100 BCE', 'Religious Group, Text, Canonical texts, Biblical Prophets, Early Jewish Literature, Abrahamic, Rule Text, Near East, Scripture, Prophecy, Ritual text, Sacred Law, Jewish Traditions, Judeans and Israelites, Temple Buildings and Temple Cult']"
asia,Kurd,"['Secondary source: Multiple References', 'Data source: eHRAF', '1926 CE - 1955 CE', 'Religious Group, Islamic Traditions']"
asia,Monotheistic Pre-Islamic South Arabia,"['360 CE - 570 CE', 'Religious Group, Arabian Religions']"
asia,Polytheistic Pre-Islamic South Arabia,"['800 BCE - 360 CE', 'Religious Group, Arabian Religions']"
asia,Qasr al-Bint,"['Secondary source: Multiple References', '30 BCE - 400 CE', 'Religious Place, Religious Group, Temple, Altar, Levantine Religion, Arabian Religions']"
asia,Rwala Bedouin,"['Secondary source: Multiple References', 'Data source: eHRAF', '1887 CE - 1915 CE', 'Religious Group, Islamic Traditions']"
asia,The Chaldaean Oracles,"['100 CE - 199 CE', 'Religious Group, Text, Hellenistic Religions, Babylonian Religions, Ancient Greek text, Greek Religions']"
asia,الكعبة : المسجد الحرام al-Ka'ba : al-Masjed al-Haram,"['2000 BCE - 2023 CE', 'Religious Group, Religious Place, Arabia, Abrahamic, Arabian Religions, Islamic Traditions']"
anatolia,Achaemenid Religion,"['550 BCE - 330 BCE', 'Religious Group, Zoroastrianism, Mesopotamian Religions']"
anatolia,Theurgy,"['150 CE - 529 CE', 'Religious Group, Hellenistic Religions, Syncretic Religions, Roman Religious Traditions, Rome, Greek Religions']"
caucasus,Abkhaz,"['Secondary source: Multiple References', 'Data source: eHRAF', '1855 CE - 1890 CE', 'Religious Group, Christian Traditions, Islamic Traditions, Syncretic Religions']"
caucasus,Atheism in the Soviet Union,"['1917 CE - 1991 CE', 'Religious Group, Reform Movement, Secularism, Post-Christian']"
caucasus,Edinoverie,"['1800 CE - 1918 CE', 'Religious Group, Christian Traditions, Slavic Religions']"
central-asia,Achaemenid Religion,"['550 BCE - 330 BCE', 'Religious Group, Zoroastrianism, Mesopotamian Religions']"
central-asia,Atheism in the Soviet Union,"['1917 CE - 1991 CE', 'Religious Group, Reform Movement, Secularism, Post-Christian']"
central-asia,Edinoverie,"['1800 CE - 1918 CE', 'Religious Group, Christian Traditions, Slavic Religions']"
central-asia,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,","['1318 CE - 2020 CE', 'Religious Group, Islamic Traditions, Sufi']"
central-asia,Shorter Sukhāvatīvyūha Sūtra,"['100 CE - 2022 CE', 'Religious Group, Text, Tibetan Buddhism, Mahayana Buddhism, Chinese Buddhism, Buddhist Traditions, Chinese Buddhist text, Sanskrit literature, Japanese Religions, Chinese Religion, Korean Religions, Vietnamese Religions']"
central-asia,Uyghur Islam,"['1850 CE - 2020 CE', 'Religious Group, Islamic Traditions']"
east-asia,Ainu,"['Secondary source: Multiple References', '1263 CE - 2007 CE', 'Religious Group, Japanese Religions, Slavic Religions']"
east-asia,Ainu,"['Secondary source: Multiple References', 'Data source: eHRAF', '1855 CE - 1880 CE', 'Religious Group, Japanese Religions']"
east-asia,Ancestral Cult of the Han,"['206 BCE - 220 CE', 'Religious Group, Chinese Religion']"
east-asia,Bön (Bon),"['1000 CE - 2020 CE', 'Religious Group, Tibetan Buddhism, Bön (Tibetan: bon), Buddhist Traditions, Tantric Buddhism, Indic Religious Traditions']"
east-asia,Buddhism in the Tang,"['600 CE - 1000 CE', 'Religious Group, Chinese Religion']"
east-asia,Buddhism (Late Ming),"['1590 CE - 1644 CE', 'Religious Group, Chinese Religion, Buddhist Traditions']"
east-asia,Catholics in the People's Republic of China (PRC),"['1949 CE - 2020 CE', 'Religious Group, Christian Traditions, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,Chan Buddhists in early Qing period,"['Secondary source: Multiple References', '1600 CE - 1700 CE', 'Religious Group, Chinese Religion, Buddhist Traditions, Yellow and Yangzi Rivers Region']"
east-asia,Chen-Wei Texts,"['56 CE - 907 CE', 'Religious Group, Text, Early Chinese text, Chinese Religion']"
east-asia,Chinese Buddhism (Northern Wei),"['386 CE - 534 CE', 'Religious Group, Chinese Religion, Buddhist Traditions']"
east-asia,Chinese Esoteric Buddhism (Tang Tantrism),"['716 CE - 900 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Chinese Folk Religion,"['350 BCE - 200 CE', 'Religious Group, Chinese Religion']"
east-asia,Chinese State Religion (Shang and Western Zhou),"['1750 BCE - 850 BCE', 'Religious Group, Chinese Religion']"
east-asia,Christianity in Tang China,"['618 CE - 906 CE', 'Religious Group, Chinese Religion']"
east-asia,Chuci zhangju,"['139 BCE - 140 CE', 'Religious Group, Text, Cosmology, Early Chinese Traditions, Early Chinese text, Cosmogony, Yellow and Yangzi Rivers Region']"
east-asia,Classical Daoism,"['Secondary source: Single source', '350 BCE - 100 BCE', 'Religious Group, Chinese Religion, Daoism']"
east-asia,Command to Fu Yue 傅說之命,"['400 BCE - 300 BCE', 'Religious Group, Text, Early Chinese Traditions, Early Chinese text, Tsinghua Text']"
east-asia,Confucianism - Eastern Zhou,"['Expert source: Paul Goldin', '600 BCE - 200 BCE', 'Religious Group, Chinese Religion']"
east-asia,Daoism,"['142 CE - 2014 CE', 'Religious Group, Chinese Religion']"
east-asia,Dazhidu lun 大智度論,"['402 CE - 406 CE', 'Religious Group, Text, Mahayana Buddhism, Chinese Buddhist text, Buddhist Traditions, Scripture, Chinese Religion, Indic Religious Traditions, Yellow and Yangzi Rivers Region']"
east-asia,Drikung Kagyu,"['1143 CE - 2020 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Early Chosŏn Korea,"['1392 CE - 1600 CE', 'Polity, Asia']"
east-asia,Early Tokugawa Neo-Confucianism,"['1600 CE - 1700 CE', 'Religious Group, Japanese Religions']"
east-asia,Early Zhou Religion,"['1046 BCE - 771 BCE', 'Religious Group, Chinese Religion']"
east-asia,Fangshi,"['475 BCE - 220 CE', 'Religious Group, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
east-asia,Gaengjeongyudo,"['Secondary source: Multiple References', '1928 CE - 2020 CE', 'Religious Group, New Religious Movement, Korean Religions']"
east-asia,Gönlung Monastery (dgon lung byams pa gling),"['1604 CE - 1958 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Guangzhou (Buddhism),"['1985 CE - 2017 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Han Confucianism,"['206 BCE - 220 CE', 'Religious Group, Chinese Religion']"
east-asia,Han Imperial Cult under Emperor Wu,"['141 BCE - 87 BCE', 'Religious Group, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,Heng xian 恆先,"['400 BCE - 300 BCE', 'Religious Group, Text, Early Chinese Traditions, Yellow and Yangzi Rivers Region, Early Chinese text, Cosmology, Daoist text, Daoism, Chinese Religion, Excavated text, Cosmogony']"
east-asia,History of the Later Han,"['25 CE - 190 CE', 'Polity, Asia']"
east-asia,History of the Qin State,"['800 BCE - 221 BCE', 'Polity, Asia']"
east-asia,Huayan School (Early Tang),"['Expert source: Jinhua Chen', '670 CE - 712 CE', 'Religious Group, Chinese Religion']"
east-asia,International Sivananda Yoga Vedanta Centers,"['1957 CE - 2023 CE', 'Religious Group, Hinduism, New Age Religion, neo-Vedanta, Yoga']"
east-asia,Jingde chuandeng lu 景德傳燈錄,"['Secondary source: Multiple References', '1004 CE - 1004 CE', 'Religious Group, Text, Chinese Buddhism, Chinese Buddhist text, Chan Buddhist text, Religious History']"
east-asia,Karma Kagyu or Kamtsang Kagyu,"['1110 CE - 2017 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Khalka Mongols,"['Secondary source: Multiple References', 'Data source: eHRAF', '1895 CE - 1930 CE', 'Religious Group, Mongolian Religions, Buddhist Traditions']"
east-asia,Korean Catholicism,"['1600 CE - 2021 CE', 'Religious Group, Christian Traditions, Roman Catholic, Asian American Religions, Abrahamic, Korean Religions, Confucianism']"
east-asia,Koreans,"['Data source: eHRAF', '1925 CE - 1950 CE', 'Religious Group, Korean Religions']"
east-asia,Korean shamanism,"['1800 CE - 2020 CE', 'Religious Group, Shamanism, Animist, Korean Religions']"
east-asia,Labrang Tashi Khyi Monastery,"['1710 CE - 2022 CE', 'Religious Group, Religious Place, Tibetan Buddhism, Temple, Tantric Buddhism, shrines, Monastery, Monument, Religious Complex']"
east-asia,Late Chosŏn Korea,"['1600 CE - 1900 CE', 'Religious Group, Korean Religions']"
east-asia,Late Medieval Chinese State Religion,"['775 CE - 960 CE', 'Religious Group, Chinese Religion']"
east-asia,Late Shang Polity,"['Expert source: David Keightley', '1250 BCE - 1046 BCE', 'Polity, Asia']"
east-asia,Late Shang Religion,"['Expert source: David Keightley', '1250 BCE - 1045 BCE', 'Religious Group, Chinese Religion']"
east-asia,Lower Xiajiadian,"['2000 BCE - 1200 BCE', 'Polity, Asia']"
east-asia,"Lunyu 論語, The Analects","['500 BCE - 1911 CE', 'Religious Group, Text, Canonical texts, Chinese Religion, Early Chinese text, Yellow and Yangzi Rivers Region']"
east-asia,Manchu,"['Secondary source: Multiple References', '947 CE - 2000 CE', 'Religious Group, Chinese Religion']"
east-asia,Mohism,"['400 BCE - 200 BCE', 'Religious Group, Chinese Religion']"
east-asia,Mozi 墨子,"['400 BCE - 200 CE', 'Religious Group, Text, Early Chinese Traditions, Early Chinese text']"
east-asia,Nechung Cult,"['1650 CE - 1850 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Northern Song,"['960 CE - 1127 CE', 'Polity, Asia']"
east-asia,Nyingma Treasure,"['1200 CE - 1500 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Postsocialist Mongolian Shamanism,"['1990 CE - 2020 CE', 'Religious Group, Mongolian Religions, Shamanism']"
east-asia,Pre-imperial Chu Religion,"['790 BCE - 223 BCE', 'Religious Group, Chinese Religion']"
east-asia,Religion at Mawangdui,"['193 BCE - 168 BCE', 'Religious Group, Chinese Religion']"
east-asia,Russian orthodox mission in Japan,"['1861 CE - 1945 CE', 'Religious Group, Orthodoxy']"
east-asia,Sample Religious Group Entry,"['500 CE - 1500 CE', 'Religious Group, Chinese Religion']"
east-asia,"(Shanghai) Xiaotaoyuan Mosque, Small Peach Garden Mosque (上海)小桃園清真寺","['1917 CE - 2022 CE', 'Religious Group, Religious Place, China, Islamic Traditions, Chinese Religion, Religious Complex']"
east-asia,"Shangshu 尚書 (""Higher Writings""; also, ""Documents"")","['700 BCE - 1911 CE', 'Religious Group, Text, Canonical texts, Early Chinese text, Chinese Religion, Excavated text, Yellow and Yangzi Rivers Region']"
east-asia,Shang State Religion,"['Expert source: Robert Eno', '1250 BCE - 1046 BCE', 'Religious Group, Chinese Religion']"
east-asia,"Shenxiao 神霄 (""Divine Empyrean"") Daoism","['Supervised by: Matthew Hamm', '1100 CE - 2021 CE', 'Religious Group, Chinese Religion']"
east-asia,Shijing 詩經 (Classic/Book of Odes/Songs),"['700 BCE - 1911 CE', 'Religious Group, Text, Canonical texts, Early Chinese Traditions, Early Chinese text, Excavated text, Yellow and Yangzi Rivers Region']"
east-asia,Shinnyo-en,"['1936 CE - 2013 CE', 'Religious Group, Shintō, Japanese Religions']"
east-asia,Shorter Sukhāvatīvyūha Sūtra,"['100 CE - 2022 CE', 'Religious Group, Text, Tibetan Buddhism, Mahayana Buddhism, Chinese Buddhism, Buddhist Traditions, Chinese Buddhist text, Sanskrit literature, Japanese Religions, Chinese Religion, Korean Religions, Vietnamese Religions']"
east-asia,Sichuan Esoteric Buddhist Cult,"['Secondary source: Multiple References', '855 CE - 1279 CE', 'Religious Group, Chinese Religion, Buddhist Traditions']"
east-asia,Sino-Christian Theology,"['1980 CE - 2020 CE', 'Religious Group, Christian Traditions, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,Sino-Muslims in Qing China,"['1644 CE - 1911 CE', 'Religious Group, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,Soushen ji 搜神記,"['100 CE - 350 CE', 'Religious Group, Text, Miracle tales, Early Chinese Traditions, Yellow and Yangzi Rivers Region, Cosmology, Daoism, Chinese Religion']"
east-asia,Spring and Autumn annals of Master Lü,"['247 BCE - 239 BCE', 'Religious Group, Text, Cosmology, Early Chinese Traditions, Ritual text, Early Chinese text, Chinese Religion']"
east-asia,Supreme Master Ching Hai World Society,"['1986 CE - 2018 CE', 'Religious Group, Buddhist Traditions, Christian Traditions, Indic Religious Traditions, New Religious Movement (NRM)']"
east-asia,Taigu School,"['1762 CE - 1950 CE', 'Religious Group, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,Taiping jing,"['150 CE - 2022 CE', 'Religious Group, Text, Early Chinese text, Yellow and Yangzi Rivers Region']"
east-asia,Talismanic Religion,"['200 BCE - 500 CE', 'Religious Group, Chinese Religion']"
east-asia,The Buddhist community on Mount Lu during early medieval China,"['350 CE - 450 CE', 'Religious Group, Buddhist Traditions, Chinese Buddhism, Yellow and Yangzi Rivers Region']"
east-asia,The Fellowship of Goodness 同善社 (Tongshanshe),"['1910 CE - 1951 CE', 'Religious Group, Messianism, Redemptive Societies, Apocalyptic Movements, Buddhist Traditions, New Religious Movement, Heresy, Chinese Religion, New Religious Movement (NRM), Yellow and Yangzi Rivers Region, Daoism, Confucianism']"
east-asia,The Five Yi Yin Texts,"['335 BCE - 275 BCE', 'Religious Group, Text, Early Chinese Traditions, Tsinghua Text, Cosmology, Chinese Religion, Excavated text']"
east-asia,"*The Heart is what is at the center, *Xin shi wei Zhong 心是謂中","['400 BCE - 300 BCE', 'Religious Group, Text, Early Chinese Traditions, Early Chinese text, Tsinghua Text']"
east-asia,The Plum Village Sangha of Thich Nhat Hanh,"['1982 CE - 2020 CE', 'Religious Group, Southeast Asian Religions, Vietnam, Vietnamese Religions, Buddhist Traditions']"
east-asia,The Taizhou Movement,"['1500 CE - 1600 CE', 'Religious Group, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,The Zhuangzi,"['551 BCE - 1911 CE', 'Religious Group, Text, Yellow and Yangzi Rivers Region, Early Chinese Traditions, Daoist text, Daoism, Early Chinese text']"
east-asia,Three Self Patriotic Movement (TSPM),"['Expert source: Mark McLeister', '1950 CE - 2021 CE', 'Religious Group, Yellow and Yangzi Rivers Region, Christian Traditions, Chinese Religion']"
east-asia,Tiantai,"['538 CE - 2022 CE', 'Religious Group, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,"Tiantai Buddhism (Song Dynasty, Liangzhe Circuit)","['960 CE - 1279 CE', 'Religious Group, Buddhist Traditions']"
east-asia,Tian wen 天問,"['340 BCE - 140 CE', 'Religious Group, Text, Early Chinese Traditions, Cosmology, Chinese Religion, Cosmogony, Yellow and Yangzi Rivers Region']"
east-asia,Tibetan and Himalayan Mundane and Landscape Cults,"['600 CE - 2020 CE', 'Religious Group, Tibetan Buddhism, Tantric Buddhism, Animist, Shamanism, Bön (Tibetan: bon), Buddhist Traditions, Natural Religion']"
east-asia,Upper Xiajiadian,"['1200 BCE - 600 BCE', 'Polity, Asia']"
east-asia,Warring States (China) Religion,"['481 BCE - 206 BCE', 'Religious Group, Chinese Religion']"
east-asia,Warring States Confucian Thought,"['450 BCE - 221 BCE', 'Religious Group, Chinese Religion']"
east-asia,Won-Buddhism,"['1916 CE - 2017 CE', 'Religious Group, Korean Religions']"
east-asia,Wumen Guan 無門關,"['1228 CE - 2022 CE', 'Religious Group, Text, Chinese Buddhism, Buddhist Traditions, Chan Buddhist text, Chinese Buddhist text, Japanese Religions, Chinese Religion, Korean Religions, Vietnamese Religions']"
east-asia,Wuzhen pian 悟真篇,"['1075 CE - 1078 CE', 'Religious Group, Text, Scripture, Daoist text, Daoism, Yellow and Yangzi Rivers Region']"
east-asia,"*Xing zi ming chu 性自命出, Natural Dispositions Come from Endowment","['400 BCE - 200 BCE', 'Religious Group, Text, Early Chinese Traditions, Early Chinese text, Excavated text, Yellow and Yangzi Rivers Region']"
east-asia,Xuanxue 玄學,"['200 CE - 600 CE', 'Religious Group, Chinese Religion']"
east-asia,Xuanzang's Yogācāra Tradition,"['645 CE - 696 CE', 'Religious Group, Buddhist Traditions, Yellow and Yangzi Rivers Region']"
east-asia,Xunzi 荀子,"['310 BCE - 215 BCE', 'Religious Group, Text, Chinese Religion, Confucianism, Early Chinese text']"
east-asia,Yanshi Shangcheng,"['1600 BCE - 1365 BCE', 'Religious Group, Chinese Religion, Yellow and Yangzi Rivers Region']"
east-asia,Zichiji 資持記,"['1078 CE - 1085 CE', 'Religious Group, Text, Vinaya commentary, Dharmaguptaka Vinaya, Vinaya school, Yellow and Yangzi Rivers Region']"
himalayas,Drikung Kagyu,"['1143 CE - 2020 CE', 'Religious Group, Buddhist Traditions']"
himalayas,Drukpa Kagyü School (Bhutan),"['1625 CE - 2021 CE', 'Religious Group, Tantric Buddhism, Buddhist Traditions']"
himalayas,Ganden Monastery (Dga' ldan),"['1409 CE - 1959 CE', 'Religious Place, Religious Group, Monastery, Buddhist Traditions']"
himalayas,International Sivananda Yoga Vedanta Centers,"['1957 CE - 2023 CE', 'Religious Group, Hinduism, New Age Religion, neo-Vedanta, Yoga']"
himalayas,Ladakhi Buddhism,"['842 CE - 2020 CE', 'Religious Group, Buddhist Traditions']"
himalayas,Newar Buddhists,"['1200 CE - 2018 CE', 'Religious Group, Buddhist Traditions, Syncretic Religions, Indic Religious Traditions']"
himalayas,Nyingma (rnying ma),"['700 CE - 1959 CE', 'Religious Group, Tibetan Buddhism, Tantric Buddhism, Buddhist Traditions']"
himalayas,Sa skya,"['1073 CE - 2020 CE', 'Religious Group, Buddhist Traditions']"
himalayas,Tribal Christianity (and allied castes) in the Himalayas,"['1950 CE - 2018 CE', 'Religious Group, Christian Traditions']"
inner-asia,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,","['1318 CE - 2020 CE', 'Religious Group, Islamic Traditions, Sufi']"
inner-asia,Shorter Sukhāvatīvyūha Sūtra,"['100 CE - 2022 CE', 'Religious Group, Text, Tibetan Buddhism, Mahayana Buddhism, Chinese Buddhism, Buddhist Traditions, Chinese Buddhist text, Sanskrit literature, Japanese Religions, Chinese Religion, Korean Religions, Vietnamese Religions']"
inner-asia,Uyghur Islam,"['1850 CE - 2020 CE', 'Religious Group, Islamic Traditions']"
north-asia,Tyva (Buddhism),"['1634 CE - 2017 CE', 'Religious Group, Buddhist Traditions']"
north-asia,Tyva Republic (Animism-Totemism-Shamanism),"['1990 CE - 2013 CE', 'Religious Group, Shamanism']"
south-asia,16th-17th c. Gauḍīya Vaiṣṇava Tradition,"['1500 CE - 1700 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Ahl-e-Sunnat wa Jamaat,"['Secondary source: Multiple References', '1880 CE - 2019 CE', 'Religious Group, Reform Movement, Islamic Traditions, Indic Religious Traditions']"
south-asia,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,"['1889 CE - 2016 CE', 'Religious Group, Islamic Traditions, Indic Religious Traditions']"
south-asia,Andamanese,"['Secondary source: Multiple References', '1788 CE - 1983 CE', 'Religious Group, Southeast Asian Religions']"
south-asia,Anglican Church,"['1530 CE - 2017 CE', 'Religious Group, Christian Traditions']"
south-asia,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra,"['Secondary source: Multiple References', '1880 CE - 1951 CE', 'Religious Group, Vaishnavism, Hinduism, Bhakti']"
south-asia,Bhils,"['1700 CE - 2020 CE', 'Religious Group, Indic Religious Traditions, Shamanism']"
south-asia,Burusho,"['Secondary source: Multiple References', '1878 CE - 2000 CE', 'Religious Group, Islamic Traditions']"
south-asia,Chittagong Plain Buddhists,"['1860 CE - 2010 CE', 'Religious Group, Buddhist Traditions, Indic Religious Traditions']"
south-asia,Chogha Zanbil (Al Untash-Napirisha),"['1250 BCE - 1000 BCE', 'Religious Group, Religious Place, Temenos, Temple, Mesopotamian Religions, Ziggurat, Religious Complex']"
south-asia,Darul Uloom Deoband,"['Secondary source: Multiple References', '1866 CE - 2019 CE', 'Religious Group, Reform Movement, Islamic Traditions, Indic Religious Traditions']"
south-asia,Dasara,"['1610 CE - 2016 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Drikung Kagyu,"['1143 CE - 2020 CE', 'Religious Group, Buddhist Traditions']"
south-asia,Early Indian Buddhism,"['450 BCE - 1 CE', 'Religious Group, Buddhist Traditions']"
south-asia,Early Khalsa Sikhs,"['1699 CE - 1799 CE', 'Religious Group, Sikhism']"
south-asia,Early Śramaṇas,"['700 BCE - 500 CE', 'Religious Group, Jain Traditions, Buddhist Traditions, Indic Religious Traditions']"
south-asia,Free Methodist Church,"['1860 CE - 2020 CE', 'Religious Group, Christian Traditions']"
south-asia,"Gaddi, a Hindu community of the Western Himalayas","['1845 CE - 2018 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Garo,"['Secondary source: Multiple References', 'Data source: eHRAF', '1930 CE - 1960 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Gond,"['Secondary source: Multiple References', 'Data source: eHRAF', '1875 CE - 1910 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Gujarati Mata Worshipers,"['1850 CE - 2019 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Hindu Goddess Worship in Northwest India—Modern Period,"['1980 CE - 2000 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Ilm-e-Khshnoom,"['1907 CE - 2020 CE', 'Religious Group, Zoroastrianism']"
south-asia,International Sivananda Yoga Vedanta Centers,"['1957 CE - 2023 CE', 'Religious Group, Hinduism, New Age Religion, neo-Vedanta, Yoga']"
south-asia,"Jain Digambara Tantra, Karnataka","['900 CE - 1200 CE', 'Religious Group, Jain Traditions, Indic Religious Traditions']"
south-asia,Jainism,"['600 BCE - 2020 CE', 'Religious Group, Jain Traditions']"
south-asia,Kalighat Temple,"['19 CE - 21 CE', 'Religious Group, Religious Place, Shrine, Hinduism']"
south-asia,Krishna Worship in North India - Modern Period,"['1858 CE - 2017 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Ladakhi Buddhism,"['842 CE - 2020 CE', 'Religious Group, Buddhist Traditions']"
south-asia,Lakher,"['Secondary source: Multiple References', 'Data source: eHRAF', '1905 CE - 1935 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Lepcha,"['Data source: eHRAF', '1920 CE - 1938 CE', 'Religious Group, Buddhist Traditions, Indic Religious Traditions']"
south-asia,Mādhva,"['1238 CE - 2018 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Medieval Śrīvaiṣṇavism,"['1017 CE - 1445 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,"Meo Muslim, Mev, Mewati Muslim","['1100 CE - 2020 CE', 'Religious Group, Islamic Traditions, Indic Religious Traditions']"
south-asia,Mysore,"['2014 CE - 2016 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Nāth Sampradāya,"['1700 CE - 2018 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Newar Buddhists,"['1200 CE - 2018 CE', 'Religious Group, Buddhist Traditions, Syncretic Religions, Indic Religious Traditions']"
south-asia,Nicobarese,"['Secondary source: Multiple References', '1750 CE - 2011 CE', 'Religious Group, Southeast Asian Religions']"
south-asia,Non-dual Śaiva Tantra,"['800 CE - 1600 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Pāśupatas,"['200 CE - 1200 CE', 'Religious Group, Southeast Asian Religions, Indic Religious Traditions']"
south-asia,Śaiva Magic,"['800 CE - 1500 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Śākta Hinduism,"['Expert source: James Pierce', '450 BCE - 2019 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Santal,"['Secondary source: Multiple References', '1854 CE - 1991 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Santal,"['Secondary source: Multiple References', 'Data source: eHRAF', '1915 CE - 1940 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Shaiva World Renouncers,"['1970 CE - 2015 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Shakta Religion,"['500 CE - 1100 CE', 'Religious Group, Hinduism']"
south-asia,Shorter Sukhāvatīvyūha Sūtra,"['100 CE - 2022 CE', 'Religious Group, Text, Tibetan Buddhism, Mahayana Buddhism, Chinese Buddhism, Buddhist Traditions, Chinese Buddhist text, Sanskrit literature, Japanese Religions, Chinese Religion, Korean Religions, Vietnamese Religions']"
south-asia,Sikhism: Guru Hargobind to Guru Gobind Singh,"['1606 CE - 1708 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Sikhism: Guru Nanak to Guru Arjan,"['1469 CE - 1606 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Sri Lankan Buddhism (1948-Present),"['1948 CE - 2015 CE', 'Religious Group, Buddhist Traditions']"
south-asia,Tamil Śaiva Bhakti,"['550 CE - 850 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,The Sanskrit Yasna,"['1100 CE - 1400 CE', 'Religious Group, Text, Sanskrit literature, Zoroastrianism, Zoroastrian prayer, Zoroastrian liturgy, Sanskrit version']"
south-asia,The Sarna religion of the Oraons of Jharkhand,"['1845 CE - 2019 CE', 'Religious Group, Animist']"
south-asia,The Worship of Jagannath in Puri (Odisha),"['1970 CE - 2016 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Tribal Christianity (and allied castes) in the Himalayas,"['1950 CE - 2018 CE', 'Religious Group, Christian Traditions']"
south-asia,Uttar Pradesh,"['Secondary source: Multiple References', '1500 CE - 2010 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Varkaris,"['1200 CE - 1700 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,Vedda,"['Secondary source: Multiple References', '1000 CE - 1970 CE', 'Religious Group, Southeast Asian Religions']"
south-asia,Veerashaivas,"['1200 CE - 2018 CE', 'Religious Group, Indic Religious Traditions']"
south-asia,"West Bengal, India","['300 BCE - 600 CE', 'Religious Group, Indic Religious Traditions, Buddhist Traditions, Vedic religion']"
south-asia,"West Bengal, India","['600 CE - 1200 CE', 'Religious Group, Indic Religious Traditions, Buddhist Traditions, Vedic religion']"
south-asia,"West Bengal, India","['1200 BCE - 300 BCE', 'Religious Group, Indic Religious Traditions, Buddhist Traditions, Vedic religion']"
